TABLE 17,,
,,
MYSTIC RIVER BASIN SURVEY,,
,1 9 8 0,"SULFATE DATA
1 9 8 1"
STATION,13-May,26-Feb
AJ01,28,91
AJ02,27,50
AJ03,19,24
AJ04,34,41
AJ05,50,116
AJ06,45,89
AJ07,34,76
AJ08,36,70
AJ09,19,21
AJ10,33,59
AJ11,36,59
MY10,34,43
MY11,29,38
MY12,11,19
MY13,20,18
MY14,25,
MY15,,28
MY16A,,37
MY17A,,19
MY18,,126
HB01,75,91
HB02,18,24
AJT01,17,
AJT02,13,19
AJT03,,18
AJT04,,22
AJT05,,22
HBT01,25,14
HBT02,1000,378
HBT03,43,386
HBT04,,23
HBT05,450,236
HBT06,32,89
HBT07,175,26
HBT08,225,184
