"OrigStationName","LocationID","SurveyDate","Datetime","TEMP_WATER","DO","DO_SAT"
"MY11","MYR071","1980-05-13","1980-05-13 14:40:00","62","9","92"
"MY11","MYR071","1980-10-28","1980-10-28 09:38:00","45","5.7","48"
"MY11","MYR071","1981-02-26","1981-02-26 10:00:00","41","10.5","82"
"MY11","MYR071","1981-07-29","1981-07-29 10:05:00","74","5.9","68"
"MY12","MIB001","1979-06-27","1979-06-27 08:24:00","61","8.5","87"
"MY12","MIB001","1979-08-06","1979-08-06 15:15:00","78","10.4","129"
"MY12","MIB001","1979-12-12","1979-12-12 14:24:00","51","7.3","66"
"MY12","MIB001","1980-05-13","1980-05-13 14:30:00","63","8.8","91"
"MY12","MIB001","1980-10-28","1980-10-28 09:45:00","47","7.2","61"
"MY12","MIB001","1981-02-26","1981-02-26 09:50:00","36","12.7","92"
"MY12","MIB001","1981-07-29","1981-07-29 10:25:00","68","6.7","73"
"MY13","MWRA070","1979-06-27","1979-06-27 08:08:00","69","3.9","44"
"MY13","MWRA070","1979-08-06","1979-08-06 15:30:00","82","9.6","124"
"MY13","MWRA070","1979-12-12","1979-12-12 00:01:00",,,
"MY13","MWRA070","1980-05-13","1980-05-13 14:45:00","63","5.3","55"
"MY13","MWRA070","1980-10-28","1980-10-28 09:35:00",,"4.5",
"MY13","MWRA070","1981-02-26","1981-02-26 09:40:00","38","11.1","83"
"MY13","MWRA070","1981-07-29","1981-07-29 09:53:00","74","5.8","67"
"MY14","MWRA172","1979-06-27","1979-06-27 00:01:00",,,
"MY14","MWRA172","1979-08-06","1979-08-06 00:01:00",,,
"MY14","MWRA172","1979-12-12","1979-12-12 00:01:00",,,
"MY14","MWRA172","1980-05-13","1980-05-13 14:55:00","63","5.9","61"
"MY14","MWRA172","1980-10-28","1980-10-28 00:01:00",,,
"MY14","MWRA172","1981-02-26","1981-02-26 00:01:00",,,
"MY14","MWRA172","1981-07-29","1981-07-29 10:00:00","70","3.6","40"
"MY15","MWRA061","1979-06-27","1979-06-27 08:48:00","71","9","103"
"MY15","MWRA061","1979-08-06","1979-08-06 15:35:00","84","13.2","174"
"MY15","MWRA061","1979-12-12","1979-12-12 00:01:00",,,
"MY15","MWRA061","1980-05-13","1980-05-13 00:01:00",,,
"MY15","MWRA061","1980-10-28","1980-10-28 09:30:00","48","6.7","57"
"MY15","MWRA061","1981-02-26","1981-02-26 09:25:00","42","11.2","89"
"MY15","MWRA061","1981-07-29","1981-07-29 09:40:00","75","6.9","81"
"MY16A","MYR39","1979-06-27","1979-06-27 00:01:00",,,
"MY16A","MYR39","1979-08-06","1979-08-06 00:01:00",,,
"MY16A","MYR39","1979-12-12","1979-12-12 00:01:00",,,
"MY16A","MYR39","1980-05-13","1980-05-13 00:01:00",,,
"MY16A","MYR39","1980-10-28","1980-10-28 00:01:00",,,
"MY16A","MYR39","1981-02-26","1981-02-26 09:30:00","43","9.4","76"
"MY16A","MYR39","1981-07-29","1981-07-29 00:01:00",,,
"MY17A","MAR036","1979-06-27","1979-06-27 09:07:00","69","8.1","91"
"MY17A","MAR036","1979-08-06","1979-08-06 15:51:00","80","6.8","86"
"MY17A","MAR036","1979-12-12","1979-12-12 00:01:00",,,
"MY17A","MAR036","1980-05-13","1980-05-13 00:01:00",,,
"MY17A","MAR036","1980-10-28","1980-10-28 09:13:00","49","8.2","71"
"MY17A","MAR036","1981-02-26","1981-02-26 09:10:00","42","17.4","138"
"MY17A","MAR036","1981-07-29","1981-07-29 09:15:00","73","7.9","91"
"MY18","MWRA059","1979-06-27","1979-06-27 09:35:00","69","9.2","103"
"MY18","MWRA059","1979-08-06","1979-08-06 16:01:00","80","10.4","131"
"MY18","MWRA059","1979-12-12","1979-12-12 00:01:00",,,
"MY18","MWRA059","1980-05-13","1980-05-13 00:01:00",,,
"MY18","MWRA059","1980-10-28","1980-10-28 09:00:00","48","9.5","82"
"MY18","MWRA059","1981-02-26","1981-02-26 09:00:00","41","11.7","92"
"MY18","MWRA059","1981-07-29","1981-07-29 09:05:00","74","9.4","109"
"HB01","HAB0015","1979-06-27","1979-06-27 12:07:00","70","9.6","109"
"HB01","HAB0015","1979-08-06","1979-08-06 12:15:00","75","7.8","93"
"HB01","HAB0015","1979-12-12","1979-12-12 11:08:00","49","9.9","87"
"HB01","HAB0015","1980-05-13","1980-05-13 10:15:00","61","9","92"
"HB01","HAB0015","1980-10-28","1980-10-28 12:14:00","43","7.4","60"
"HB01","HAB0015","1981-02-26","1981-02-26 12:35:00","36","10.5","76"
"HB01","HAB0015","1981-07-29","1981-07-29 13:05:00","70","6.5","72"
"HB02","HAB002","1979-06-27","1979-06-27 12:51:00","68","5.4","60"
"HB02","HAB002","1979-08-06","1979-08-06 11:45:00","70","2.8","32"
"HB02","HAB002","1979-12-12","1979-12-12 10:55:00","48","9.1","79"
"HB02","HAB002","1980-05-13","1980-05-13 10:50:00","63","5.7","59"
"HB02","HAB002","1980-10-28","1980-10-28 12:10:00","45","7.5","63"
"HB02","HAB002","1981-02-26","1981-02-26 12:45:00","39","10.4","79"
"HB02","HAB002","1981-07-29","1981-07-29 13:10:00","69","5.1","56"
"AJT02","SWBB","1979-06-27","1979-06-27 10:50:00","62","4.7","49"
"AJT02","SWBB","1979-08-06","1979-08-06 14:30:00","73","6.8","80"
"AJT02","SWBB","1979-12-12","1979-12-12 12:54:00","54","11.9","113"
"AJT02","SWBB","1980-05-13","1980-05-13 12:30:00","61","7.6","78"
"AJT02","SWBB","1980-10-28","1980-10-28 10:55:00","44","7.7","62"
"AJT02","SWBB","1981-02-26","1981-02-26 11:00:00","40","12.3","95"
"AJT02","SWBB","1981-07-29","1981-07-29 13:55:00",,,
