"OriginalLocationID","LocationID","Datetime","TOTAL COLIFORM BACTERIA DATA"
"AJT02","SWBB","7/29/81","300,000"
"AJT03","HOB103","10/28/80","40,000"
"AJT03","HOB103","2/26/81","500"
"AJT04","SHBTRIB","10/28/80","900"
"AJT04","SHBTRIB","2/26/81","1,200"
"AJT04","SHBTRIB","7/29/81","6300"
"AJT05","CUBLEX","10/28/80","4,800"
"AJT05","CUBLEX","2/26/81","3000"
"AJT05","CUBLEX","7/29/81","6800"
"HBT01","HBT01","6/27/79","100"
"HBT01","HBT01","5/13/80","400"
"HBT01","HBT01","10/28/80","400"
"HBT01","HBT01","2/26/81","100"
"HBT01","HBT01","7/29/81","500"
"HBT02","HBT02","6/27/79","1,200"
"HBT02","HBT02","5/13/80","6,000"
"HBT02","HBT02","10/28/80","700"
"HBT02","HBT02","2/26/81","<20"
"HBT02","HBT02","7/29/81","61,000"
"HBT03","HBT03","5/13/80","490"
"HBT03","HBT03","10/28/80","600"
"HBT03","HBT03","2/26/81","<20"
"HBT05","HBT05","6/27/79","100"
"HBT05","HBT05","8/6/79","500"
"HBT05","HBT05","5/13/80","850"
"HBT05","HBT05","10/28/80","2,400"
"HBT05","HBT05","2/26/81","<20"
"HBT05","HBT05","7/29/81","11,000"
"HBT06","HBT06","6/27/79","1,000"
"HBT06","HBT06","8/6/79","500"
"HBT06","HBT06","5/13/80","200"
"HBT06","HBT06","10/28/80","1,100"
"HBT06","HBT06","2/26/81","2,300"
"HBT06","HBT06","7/29/81","16,000"
"HBT07","HBT07","6/27/79","100"
"HBT07","HBT07","5/13/80","160"
"HBT07","HBT07","10/28/80","700"
"HBT07","HBT07","2/26/81","4,000"
"HBT08","HBT08","6/27/79","400"
"HBT08","HBT08","8/6/79","1,100"
"HBT08","HBT08","5/13/80","1,100"
"HBT08","HBT08","10/28/80","2,800"
"HBT08","HBT08","2/26/81","80"
"HBT08","HBT08","7/29/81","15,000"
