TABLE 25,,,,
MYSTIC RIVER BASIN SURVEY,,,,
MANGANESE DATA (mg/1),,,,
,1,9 8 0,,1 9 8 0
STATION,,5/13,   STATION    ,5/13
AJOl,,0.30,AJTOl,0.12
AJ02,,1.0,AJT02,0.20
AJ03,,0.10,AJT03,
AJ04,,0.14,AJ04,
AJ05,,0.15,AJT05,
AJ06,,0.15,HBTOl,0.68
AJ07,,0.35,HBT02,2.5
AJ08,,0.15,HBT03,0.70
AJ09,,0.05,HBT04,
AJlO,,0.10,HBT05,2.4
AJll,,0.07,HBT06,2.1
MYlO,,0.18,HBT07,1.1
MYll,,0.12,HBT08,2.1
MY12,,0.15,,
MY13,,0.12,,
MY14,,0.50,,
MY15,,,,
MY16A,,,,
MY17A,,,,
MY18,,,,
HBO!,,0.80,,
HB02,,0.07,,
49,,,,
