OrigStationName,LocationID,date,Datetime
HBT06,HBT06,,8/6/79 11:30
HBT06,HBT06,,12/12/79 10:45
HBT06,HBT06,,5/13/80 10:00
HBT06,HBT06,,10/28/80 12:20
HBT06,HBT06,,2/26/81 12:50
HBT06,HBT06,,7/29/81 13:15
HBT07,HBT07,,6/27/79 13:00
HBT07,HBT07,,5/13/80 9:50
HBT07,HBT07,,10/28/80 12:35
HBT07,HBT07,,2/26/81 13:02
HBT08,HBT08,,6/27/79 12:09
HBT08,HBT08,,8/6/79 12:20
HBT08,HBT08,,12/12/79 11:13
HBT08,HBT08,,5/13/80 10:25
HBT08,HBT08,,10/28/80 12:14
HBT08,HBT08,,2/26/81 12:40
HBT08,HBT08,,7/29/81 13:05
