"OriginalLocationID","LocationID","Datetime","SUSPENDED SOLIDS DATA"
"HBT06","HBT06","3","7"
"HBT07","HBT07","110","15"
"HBT07","HBT07","406","34"
"HBT07","HBT07","28","7"
"HBT08","HBT08","24","19"
"HBT08","HBT08","5.5","7"
"HBT08","HBT08","4","14"
"HBT08","HBT08","110","24"
"HBT08","HBT08","406","13"
"HBT08","HBT08","28","23"
"HBT08","HBT08","3","5"
