TABLE 7 (CONTINUED),,,,,,,
,,,,,,,
,,,,,,,
,1 9 7 9,,,1 9 8 0,,1 9 8 1,
STATION,6/27/79,8/6/79,12/12/79,5/13/80,10/28/80,2/26/81,7/29/81
AJT01,,,2,18,,,
AJT02,24,5.5,4,110,406,28,3
AJT03,,,,,6,5,
AJT04,,,,,0,4,4
AJT05,,,,,2,52,6
HBT01,15,,8.5,6.5,2.5,3,5
HBT02,10,,1.5,8,6,25,0.5
HBT03,,,,3,26,30,
HBT04,,,,,,2,14.5
HBT05,14,26,16,16,12,13,7
HBT06,10,6.5,12,5.5,9.5,72,7
HBT07,,,,15,34,7,
HBT08,19,7,14,24,13,23,5
