TABLE 29,,
MYSTIC RIVER BASIN SURVEY,,
SILVER DATA (mg/l),,
1 9 8 0                       1 9 8 0,,
STATION,13-May,28-Oct
AJ01,0,0
AJ02,0,0
AJ03,0,0
AJ04,0,0
AJ05,0,0
AJ06,0,0
AJ07,0,0
AJ08,0,0
AJ09,0,
AJ10,0,0
AJ11,0,
MY 0,0,0
MY11,0,0
MY12,0,0
MY13,0,0
MY14,0,
MY15,,0
MY16A,,
MY17A,,0
MY18,,0
HB01,0,0
HB02,0,0
AJT01,0,
AJT02,0,0
AJT03,,0
AJT04,,0
AJT05,,0
HBT01,0,0
HBT02,0,0
HBT03,0,0
HBT04,,
HBT05,0,0
HBT06,0,0
HBT07,0,0
HBT08,0,0
