"OriginalLocationID","LocationID","Datetime","TOTAL SOLIDS DATA"
"AJT05","CUBLEX","7/29/81","176"
"HBT01","HBT01","6/27/79","172"
"HBT01","HBT01","12/12/79","200"
"HBT01","HBT01","5/13/80","190"
"HBT01","HBT01","10/28/80","188"
"HBT01","HBT01","2/26/81","86"
"HBT01","HBT01","7/29/81","244"
"HBT02","HBT02","6/27/79","42"
"HBT02","HBT02","12/12/79","710"
"HBT02","HBT02","5/13/80","1694"
"HBT02","HBT02","10/28/80","862"
"HBT02","HBT02","2/26/81","796"
"HBT02","HBT02","7/29/81","1754"
"HBT03","HBT03","5/13/80","230"
"HBT03","HBT03","10/28/80","394"
"HBT03","HBT03","2/26/81","828"
"HBT05","HBT05","6/27/79","438"
"HBT05","HBT05","8/6/79","738"
"HBT05","HBT05","12/12/79","640"
"HBT05","HBT05","5/13/80","804"
"HBT05","HBT05","10/28/80","548"
"HBT05","HBT05","2/26/81","3128"
"HBT05","HBT05","7/29/81","696"
"HBT06","HBT06","6/27/79","514"
"HBT06","HBT06","8/6/79","606"
"HBT06","HBT06","12/12/79","520"
"HBT06","HBT06","5/13/80","370"
"HBT06","HBT06","10/28/80","560"
"HBT06","HBT06","2/26/81","424"
"HBT06","HBT06","7/29/81","590"
"HBT07","HBT07","5/13/80","416"
"HBT07","HBT07","10/28/80","370"
"HBT07","HBT07","2/26/81","76"
"HBT08","HBT08","6/27/79","528"
"HBT08","HBT08","8/6/79","610"
"HBT08","HBT08","12/12/79","570"
"HBT08","HBT08","5/13/80","844"
"HBT08","HBT08","10/28/80","522"
"HBT08","HBT08","2/26/81","360"
"HBT08","HBT08","7/29/81","574"
