TABLE 5 (CONTINUED),,,,,,,
,,1 9 7 9,,1 9 8 0,,1 9 8 1,
,,,,,,,
,,,,,,,
STATION,6/27/79,8/6/79,12/12/79,5/13/80,10/28/80,2/26/81,7/29/81
AJT01,,,7.8,7.3,,,
AJT02,7.2,7.6,7.9,6.9,6.7,6.7,7.7
AJT03,,,,,7.1,6.9,
AJT04,,,,,7.1,6.8,7.7
AJT05,,,,,6.8,6.9,6.8
HBT01,6.6,,6.9,6.7,6.3,6.5,7.6
HBT02,7.6,,7.8,7.7,7.2,5.9,7.5
HBT03,,,,6.9,6.3,6.1,
HBT04,,,,,,6.3,6.2
HBT05,7.2,7.5,7.1,7.3,6.7,6.3,7.6
HBT06,7.2,7.9,7.3,7.2,7,7.1,7.5
HBT07,,,,7,6.6,6.4,
HBT08,7.6,8.1,7.5,7.3,7.5,6.8,7.6
