TABLE 25,,
MYSTIC RIVER BASIN SURVEY,,
MANGANESE DATA (mg/1),,
,1,9 8 0
STATION,5/13/1980,
AJ01,0.3,
AJ02,1,
AJ03,0.1,
AJ04,0.14,
AJ05,0.15,
AJ06,0.15,
AJ07,0.35,
AJ08,0.15,
AJ09,0.05,
AJ10,0.1,
AJ11,0.07,
MY10,0.18,
MY11,0.12,
MY12,0.15,
MY13,0.12,
MY14,0.5,
MY15,,
MY16A,,
MY17A,,
MY18,,
HB01,0.8,
HB02,0.07,
AJT01,0.12,
AJT02,0.2,
AJT03,,
AJ04,,
AJT05,,
HBT01,0.68,
HBT02,2.5,
HBT03,0.7,
HBT04,,
HBT05,2.4,
HBT06,2.1,
HBT07,1.1,
HBT08,2.1,
