"OriginalLocationID","LocationID","Datetime","TOTAL SOLIDS DATA"
"MY18","MWRA059","10/28/80","844"
"MY18","MWRA059","2/26/81","720"
"MY18","MWRA059","7/29/81","990"
"HB01","HAB0015","6/27/79","296"
"HB01","HAB0015","8/6/79","324"
"HB01","HAB0015","12/12/79","300"
"HB01","HAB0015","5/13/80","390"
"HB01","HAB0015","10/28/80","196"
"HB01","HAB0015","2/26/81","254"
"HB01","HAB0015","7/29/81","278"
"HB02","HB02","6/27/79","166"
"HB02","HB02","8/6/79","220"
"HB02","HB02","12/12/79","230"
"HB02","HB02","5/13/80","180"
"HB02","HB02","10/28/80","148"
"HB02","HB02","2/26/81","218"
"HB02","HB02","7/29/81","184"
"AJT03","HOB103","392","200"
"AJT03","HOB103","292","174"
"AJT04","SHBTRIB","392","172"
"AJT04","SHBTRIB","292","138"
"AJT04","SHBTRIB","138","128"
"AJT05","CUBLEX","392","244"
"AJT05","CUBLEX","292","194"
"AJT05","CUBLEX","138","176"
"HBT01","HBT01","266","172"
"HBT01","HBT01","290","200"
"HBT01","HBT01","254","190"
"HBT01","HBT01","392","188"
"HBT01","HBT01","292","86"
"HBT01","HBT01","138","244"
"HBT02","HBT02","266","42"
"HBT02","HBT02","290","710"
"HBT02","HBT02","254","1694"
"HBT02","HBT02","392","862"
"HBT02","HBT02","292","796"
"HBT02","HBT02","138","1754"
"HBT03","HBT03","254","230"
"HBT03","HBT03","392","394"
"HBT03","HBT03","292","828"
"HBT05","HBT05","266","438"
"HBT05","HBT05","270","738"
"HBT05","HBT05","290","640"
"HBT05","HBT05","254","804"
"HBT05","HBT05","392","548"
"HBT05","HBT05","292","3128"
"HBT05","HBT05","138","696"
"HBT06","HBT06","266","514"
"HBT06","HBT06","270","606"
"HBT06","HBT06","290","520"
"HBT06","HBT06","254","370"
"HBT06","HBT06","392","560"
"HBT06","HBT06","292","424"
"HBT06","HBT06","138","590"
"HBT07","HBT07","254","416"
"HBT07","HBT07","392","370"
"HBT07","HBT07","292","76"
"HBT08","HBT08","266","528"
"HBT08","HBT08","270","610"
"HBT08","HBT08","290","570"
"HBT08","HBT08","254","844"
"HBT08","HBT08","392","522"
"HBT08","HBT08","292","360"
"HBT08","HBT08","138","574"
