TABLE,10,,,
,DWPC - MAPC,208 MONITORING PROGRAM,,
,,ABERJONA RIVER BASIN,,
,HARDNESS  DATA,(mg/1),,
STATION,MARCH 21,MAY 2,JULY 5,SEPTEMBER 6
17,95,96,124,137
18,95,102,111,141
19,88,95,118,175
20,70,68,73,60
21,76,105,83,76
22,71,72,77,61
