Table,6,,,,
,DWPC - MAPC,208 MONITORING PROGRAM,,,
,,ABERJONA RIVER BASIN,,,
,DISSOLVED SOLIDS  DATA,(mg/1),,,
STATION,21-Mar,2-May,JULY,5,6-Sep
17,291,306,353,480,
18,332,322,350,401,
19,289,306,388,598,
20,208,238,259,260,
21,359,350,282,283,
22,267,202,212,220,
