Table,5,,,,
,,DWPC - MAPC,208 MONITORING PROGRAM,,
,,,ABERJONA RIVER BASIN,,
,,SUSPENDED SOLIDS DATA,(mg/1),,
STATION,MARCH,21,2-May,JULY,5
17,1,0,1,3.5,
18,10,0,2,9,
19,5,0,4,3.5,
20,4,2,0.5,5.5,
21,35,0,38,15,
22,3,0,6,14,
