TABLE,21,,,,
,DWPC - MAPC,208 MONITORING PROGRAM,,,
,,ABERJONA RIVER BASIN,,,
,ZINC DATA,(mg/1),,,
STATION,MARCH 21,MAY 2,JULY 5,SEPTEMBER,6
17,0.24,0.12,0.05,0.05,
18,0.18,0.12,0.03,0.01,
19,0.13,0.10,0.00,0.00,
20,0.03,0.02,0.00,0.00,
21,0.13,0.03,0.00,0.00,
22,0.05,0.04,0.00,0.00,
