Table,7,,,,,
,DWPC -  MAPC,,208  MONITORING PROGRAM,,,
,,,ABERJONA  RIVER BASIN,,,
,,TOTAL  SOLIDS  DATA,(mg/1),,,
STATION,MARCH,21,2-May,5-Jul,SEPTEMBER,6
17,292,306,354,484,,
18,342,322,352,410,,
19,294,306,392,602,,
20,212,240,260,266,,
21,394,350,320,298,,
22,270,202,218,234,,
