TABLE,13.00,,,,,,
,DWPC - MAPC,,208 MONITORING PROGRAM,,,,
,,,ABERJONA RIVER BASIN,,,,
,,NITRATE-NITROGEN DATA,(mg/1),,,,
STATION,MARCH,21,MAY  2,JULY,5,SEPTEMBER,6
17,1.6,5.0,3.5,4.8,,,
18,2.2,4.3,2.8,4.8,,,
19,1.4,3.7,2.4,1.4,,,
20,0.6,1.0,0.1,0.1,,,
21,1.7,2.7,1.0,0.0,,,
22,1.0,0.2,0.3,0.4,,,
