"OriginalLocationID","LocationID","Datetime","AMMONIA-NITROGEN DATA      "
"AJT02","SWBB","10/28/80","0.71"
"AJT02","SWBB","2/26/81","0.1"
"AJT02","SWBB","7/29/81","1.3"
"AJT03","HOB103","10/28/80","0.63"
"AJT03","HOB103","2/26/81","0.04"
"AJT04","SHBTRIB","10/28/80","0.01"
"AJT04","SHBTRIB","2/26/81","0.18"
"AJT04","SHBTRIB","7/29/81","0.06"
"AJT05","CUBLEX","10/28/80","0"
"AJT05","CUBLEX","2/26/81","0.06"
"AJT05","CUBLEX","7/29/81","0.06"
"HBT01","HBT01","6/27/79","0.14"
"HBT01","HBT01","12/12/79","0.47"
"HBT01","HBT01","5/13/80","0.25"
"HBT01","HBT01","10/28/80","0.36"
"HBT01","HBT01","2/26/81","0.08"
"HBT01","HBT01","7/29/81","0.25"
"HBT02","HBT02","6/27/79","56"
"HBT02","HBT02","12/12/79","140"
"HBT02","HBT02","5/13/80","153"
"HBT02","HBT02","10/28/80","142"
"HBT02","HBT02","2/26/81","57"
"HBT02","HBT02","7/29/81","274"
"HBT03","HBT03","5/13/80","6.9"
"HBT03","HBT03","10/28/80","57"
"HBT03","HBT03","2/26/81","81"
"HBT05","HBT05","6/27/79","52"
"HBT05","HBT05","8/6/79","22"
"HBT05","HBT05","12/12/79","55"
"HBT05","HBT05","5/13/80","144"
"HBT05","HBT05","10/28/80","57"
"HBT05","HBT05","2/26/81","34"
"HBT05","HBT05","7/29/81","67"
"HBT06","HBT06","6/27/79","40"
"HBT06","HBT06","8/6/79","31"
"HBT06","HBT06","12/12/79","42"
"HBT06","HBT06","5/13/80","25"
"HBT06","HBT06","10/28/80","53"
"HBT06","HBT06","2/26/81","6.5"
"HBT06","HBT06","7/29/81","59"
"HBT07","HBT07","5/13/80","22"
"HBT07","HBT07","10/28/80","22"
"HBT07","HBT07","2/26/81","2.6"
"HBT08","HBT08","6/27/79","34"
"HBT08","HBT08","8/6/79","33"
"HBT08","HBT08","12/12/79","48"
"HBT08","HBT08","5/13/80","48"
"HBT08","HBT08","10/28/80","45"
"HBT08","HBT08","2/26/81","23"
"HBT08","HBT08","7/29/81","55"
