"OriginalLocationID","LocationID","Datetime","SUSPENDED SOLIDS DATA"
"MY17A","MAR036","2/26/81","55"
"MY17A","MAR036","7/29/81","7"
"MY18","MWRA059","6/27/79","20"
"MY18","MWRA059","8/6/79","24"
"MY18","MWRA059","10/28/80","7"
"MY18","MWRA059","2/26/81","25"
"MY18","MWRA059","7/29/81","17.5"
"HB01","HAB0015","6/27/79","6"
"HB01","HAB0015","8/6/79","3.5"
"HB01","HAB0015","12/12/79","2"
"HB01","HAB0015","5/13/80","10"
"HB01","HAB0015","10/28/80","4.5"
"HB01","HAB0015","2/26/81","11"
"HB01","HAB0015","7/29/81","3.5"
"HB02","HAB002","6/27/79","6.5"
"HB02","HAB002","8/6/79","9.5"
"HB02","HAB002","12/12/79","0"
"HB02","HAB002","5/13/80","1.5"
"HB02","HAB002","10/28/80","1"
"HB02","HAB002","2/26/81","4"
"HB02","HAB002","7/29/81","3"
"AJT02","SWBB","6/27/79","24"
"AJT02","SWBB","8/6/79","5.5"
"AJT02","SWBB","12/12/79","4"
"AJT02","SWBB","5/13/80","110"
"AJT02","SWBB","10/28/80","406"
"AJT02","SWBB","2/26/81","28"
"AJT02","SWBB","7/29/81","3"
"AJT03","HOB103","10/28/80","6"
"AJT03","HOB103","2/26/81","5"
"AJT04","SHBTRIB","10/28/80","0"
"AJT04","SHBTRIB","2/26/81","4"
"AJT04","SHBTRIB","7/29/81","4"
"AJT05","CUBLEX","10/28/80","2"
"AJT05","CUBLEX","2/26/81","52"
"AJT05","CUBLEX","7/29/81","6"
"HBT01","HBT01","6/27/79","15"
"HBT01","HBT01","12/12/79","8.5"
"HBT01","HBT01","5/13/80","6.5"
"HBT01","HBT01","10/28/80","2.5"
"HBT01","HBT01","2/26/81","3"
"HBT01","HBT01","7/29/81","5"
"HBT02","HBT02","6/27/79","10"
"HBT02","HBT02","12/12/79","1.5"
"HBT02","HBT02","5/13/80","8"
"HBT02","HBT02","10/28/80","6"
"HBT02","HBT02","2/26/81","25"
"HBT02","HBT02","7/29/81","0.5"
"HBT03","HBT03","5/13/80","3"
"HBT03","HBT03","10/28/80","26"
"HBT03","HBT03","2/26/81","30"
"HBT05","HBT05","6/27/79","14"
"HBT05","HBT05","8/6/79","26"
"HBT05","HBT05","12/12/79","16"
"HBT05","HBT05","5/13/80","16"
"HBT05","HBT05","10/28/80","12"
"HBT05","HBT05","2/26/81","13"
"HBT05","HBT05","7/29/81","7"
"HBT06","HBT06","6/27/79","10"
"HBT06","HBT06","8/6/79","6.5"
"HBT06","HBT06","12/12/79","12"
"HBT06","HBT06","5/13/80","5.5"
"HBT06","HBT06","10/28/80","9.5"
"HBT06","HBT06","2/26/81","72"
"HBT06","HBT06","7/29/81","7"
"HBT07","HBT07","5/13/80","15"
"HBT07","HBT07","10/28/80","34"
"HBT07","HBT07","2/26/81","7"
"HBT08","HBT08","6/27/79","19"
"HBT08","HBT08","8/6/79","7"
"HBT08","HBT08","12/12/79","14"
"HBT08","HBT08","5/13/80","24"
"HBT08","HBT08","10/28/80","13"
"HBT08","HBT08","2/26/81","23"
"HBT08","HBT08","7/29/81","5"
