LocationID,Datetime,TEMP_WATER,DO,DO_SAT
HBT02,12/12/79 9:45,48,8.3,72
HBT02,5/13/80 7:35,60,5.5,55
HBT02,10/28/80 12:40,44,7.1,58
HBT02,2/26/08 13:14,40,9.4,69
HBT02,7/29/81 13:45,NA,5.3,NA
HBT03,5/13/80 9:10,63,2.8,29
HBT03,10/28/80 13:15,42,7.7,61
HBT03,2/26/81 13:45,38,9.5,71
HBT04,5/13/80 7:45,58,7,69
HBT05,6/27/79 13:10,74,5.1,60
HBT05,8/6/79 11:28,77,5.6,68
HBT05,12/12/79 10:35,53,5.6,52
HBT05,5/13/80 9:40,60,4.5,45
HBT05,10/28/80 12:30,44,5.1,42
HBT05,2/26/81 13:00,40,8.9,69
HBT05,7/29/81 13:15,68,4.7,51
HBT06,6/27/79 13:00,78,3.9,48
HBT06,8/6/79 11:30,70,5,57
HBT06,12/12/79 10:45,51,6.8,62
HBT06,5/13/80 10:00,58,6.8,67
HBT06,10/28/80 12:20,46,6.4,54
HBT06,2/26/81 12:50,40,8.8,68
HBT06,7/29/81 13:15,68,7.2,78
HBT07,6/27/79 13:00,67,5.8,48
HBT07,5/13/80 9:50,58,8,78
HBT07,10/28/80 12:35,52,8.8,80
HBT07,2/26/81 13:02,39,12,81
HBT08,6/27/79 12:09,74,7.4,88
HBT08,8/6/79 12:20,77,7.7,94
HBT08,12/12/79 11:13,51,8.9,81
HBT08,5/13/80 10:25,60,9.8,98
HBT08,10/28/80 12:14,44,8,65
HBT08,2/26/81 12:40,40,10.3,79
HBT08,7/29/81 13:05,67,6.7,72
