TABLE 15 (CONTINUED),,,,,,
,,,,,,
,,,,,,
1 9 7 9           1 9 8 0       1 9 8 1,,,,,,
STATION,6/27/79,8/6/79,12/12/79,5/13/80,2/26/81,7/29/81
AJT01,,,,60,,
AJT02,,,,33,106,34
AJT03,,,,,55,
AJT04,,,,,41,26
AJT05,,,,,52,38
HBT01,,,,45,18,39
HBT02,,,,360,13,340
HBT03,,,,46,128,
HBT04,,,,,18,20
HBT05,,,,200,76,128
HBT06,,,,100,72,120
HBT07,,,,26,1,
HBT08,,,,130,65,109
