TABLE 33,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,
FLOW DATA (cfs),,,,,,,
,,,,,,,
LOCATION,6/27/1979,8/6/1979,12/12/1979,5/13/1980,10/28/1980,2/26/1981,7/29/1981
"Aberjona River at Montvale Avenue, Woburn",4.52,2.39,,,,,
"Aberjona River at Swanton Street, Winchester",5.42,3.13,,,,,
"Alewife Brook at Broadway, Somerville",5.27,,,,,,
"Halls Brook at Woburn Industrial Park, Woburn",1.04,0.37,,,,,
"Mill Brook at Brook/Beech Street, Arlington",1.8,1.86,,,,,
USGS gage on Aberjona River at Winchester:,4.6,3.7,12,42,19,263,24
