OriginalLocationID,LocationID,Datetime,FECAL COLIFORM BACTERIA DATA
AJ01,AJ01,12/12/79,<5
AJ01,AJ01,5/13/80,190
AJ01,AJ01,10/28/80,140
AJ01,AJ01,2/26/81,1.9
AJ02,ABRN01,6/27/79,200
AJ02,ABRN01,8/6/79,240
AJ02,ABRN01,12/12/79,<5
AJ02,ABRN01,5/13/80,100
AJ02,ABRN01,10/28/80,800
AJ02,ABRN01,2/26/81,500
AJ02,ABRN01,7/29/81,"1,000"
AJ03,ABR070,6/27/79,10
AJ03,ABR070,8/6/79,200
AJ03,ABR070,12/12/79,200
AJ03,ABR070,5/13/80,220
AJ03,ABR070,10/28/80,800
AJ03,ABR070,2/26/81,200
AJ03,ABR070,7/29/81,"1,000"
AJ04,HAB001,6/27/79,200
AJ04,HAB001,8/6/79,500
AJ04,HAB001,12/12/79,<5
AJ04,HAB001,5/13/80,170
AJ04,HAB001,10/28/80,440
AJ04,HAB001,2/26/81,100
AJ04,HAB001,7/29/81,"1,200"
AJ05,ABR049,6/27/79,200
AJ05,ABR049,8/6/79,400
AJ05,ABR049,12/12/79,10
AJ05,ABR049,5/13/80,180
AJ05,ABR049,10/28/80,380
AJ05,ABR049,2/26/81,60
AJ05,ABR049,7/29/81,"2,100"
AJ06,ABR036,6/27/79,900
AJ06,ABR036,8/6/79,700
AJ06,ABR036,12/12/79,20
AJ06,ABR036,5/13/80,850
AJ06,ABR036,10/28/80,420
AJ06,ABR036,2/26/81,"1,000"
AJ06,ABR036,7/29/81,"2,600"
AJ07,ABR028,6/27/79,"50,000"
AJ07,ABR028,8/6/79,600
AJ07,ABR028,12/12/79,150
AJ07,ABR028,5/13/80,"3,000"
AJ07,ABR028,10/28/80,"16,000"
AJ07,ABR028,2/26/81,"4,700"
AJ07,ABR028,7/29/81,"2,200"
AJ08,ABR017,6/27/79,"6,000"
AJ08,ABR017,8/6/79,160
AJ08,ABR017,12/12/79,180
AJ08,ABR017,5/13/80,"1,500"
AJ08,ABR017,10/28/80,"10,000"
AJ08,ABR017,2/26/81,"4,000"
AJ08,ABR017,7/29/81,"7,000"
AJ10,ABR006,6/27/79,400
AJ10,ABR006,8/6/79,80
AJ10,ABR006,12/12/79,200
AJ10,ABR006,5/13/80,"1,800"
AJ10,ABR006,10/28/80,"4,100"
AJ10,ABR006,2/26/81,"3,400"
AJ10,ABR006,7/29/81,"2,200"
AJ11,ABR001,12/12/79,50
AJ11,ABR001,5/13/80,70
AJ11,ABR001,2/26/81,"2,900"
AJ11,ABR001,7/29/81,"1,200"
MY10,UPL001,6/27/79,20
MY10,UPL001,8/6/79,10
MY10,UPL001,12/12/79,5
MY10,UPL001,5/13/80,40
MY10,UPL001,10/28/80,240
MY10,UPL001,2/26/81,700
MY10,UPL001,7/29/81,20
MY11,MYR071,6/27/79,100
MY11,MYR071,8/6/79,400
MY11,MYR071,12/12/79,300
MY11,MYR071,5/13/80,"10,000"
MY11,MYR071,10/28/80,200
MY11,MYR071,2/26/81,100
MY11,MYR071,7/29/81,"3,800"
MY12,MIB001,6/27/79,780
MY12,MIB001,8/6/79,560
MY12,MIB001,12/12/79,"1,800"
MY12,MIB001,5/13/80,"9,000"
MY12,MIB001,10/28/80,"3,200"
MY12,MIB001,2/26/81,"2,100"
MY12,MIB001,7/29/81,"5,000"
MY13,MWRA070,6/27/79,"4,000"
MY13,MWRA070,8/6/79,540
MY13,MWRA070,5/13/80,"23,000"
MY13,MWRA070,10/28/80,"120,000"
MY13,MWRA070,2/26/81,"53,000"
MY13,MWRA070,7/29/81,"2,400"
MY14,MWRA172,5/13/80,"480,000"
MY14,MWRA172,7/29/81,"9,000"
MY15,MWRA061,6/27/79,900
MY15,MWRA061,8/6/79,400
MY15,MWRA061,10/28/80,"3,800"
MY15,MWRA061,2/26/81,"12,300"
MY15,MWRA061,7/29/81,960
MY16A,MYR39,2/26/81,"90,000"
MY17A,MAR036,6/27/79,50
MY17A,MAR036,8/6/79,300
MY17A,MAR036,10/28/80,"4,300"
MY17A,MAR036,2/26/81,"40,000"
MY17A,MAR036,7/29/81,"2,000"
